DATE,MHICA06001A052NCEN
1989-01-01,34732
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,40324
1994-01-01,.
1995-01-01,44653
1996-01-01,.
1997-01-01,46795
1998-01-01,48445
1999-01-01,51298
2000-01-01,55551
2001-01-01,54925
2002-01-01,55595
2003-01-01,56225
2004-01-01,57659
2005-01-01,60937
2006-01-01,64285
2007-01-01,68263
2008-01-01,70217
2009-01-01,68258
2010-01-01,66937
2011-01-01,67295
2012-01-01,70209
2013-01-01,72128
2014-01-01,76996
2015-01-01,81462
2016-01-01,89472
2017-01-01,95550
2018-01-01,101744
2019-01-01,107589
2020-01-01,113518
